RUN	TestJenkins.CheckResponseDuplicate	checkresponseduplicate	1584653234468	hj	3.3.1
USER	VideoGames DB	1	START	1584653238903	1584653238903
REQUEST	1		Get Specific Video Game	1584653238939	1584653240058	OK	 
REQUEST	1		Get All Video Games	1584653240127	1584653240135	OK	 
REQUEST	1		Get Specific game w/ extracted game id	1584653240155	1584653240160	OK	 
USER	VideoGames DB	1	END	1584653238903	1584653240170
USER	VideoGames DB	2	START	1584653240894	1584653240894
REQUEST	2		Get Specific Video Game	1584653240895	1584653240904	OK	 
REQUEST	2		Get All Video Games	1584653240906	1584653240912	OK	 
REQUEST	2		Get Specific game w/ extracted game id	1584653240914	1584653240918	OK	 
USER	VideoGames DB	2	END	1584653240894	1584653240919
USER	VideoGames DB	3	START	1584653242894	1584653242894
REQUEST	3		Get Specific Video Game	1584653242895	1584653242903	OK	 
REQUEST	3		Get All Video Games	1584653242905	1584653242911	OK	 
REQUEST	3		Get Specific game w/ extracted game id	1584653242912	1584653242918	OK	 
USER	VideoGames DB	3	END	1584653242894	1584653242919
USER	VideoGames DB	4	START	1584653244904	1584653244904
REQUEST	4		Get Specific Video Game	1584653244905	1584653244914	OK	 
REQUEST	4		Get All Video Games	1584653244915	1584653244920	OK	 
REQUEST	4		Get Specific game w/ extracted game id	1584653244922	1584653244927	OK	 
USER	VideoGames DB	4	END	1584653244904	1584653244928
USER	VideoGames DB	5	START	1584653246894	1584653246894
REQUEST	5		Get Specific Video Game	1584653246895	1584653246905	OK	 
REQUEST	5		Get All Video Games	1584653246907	1584653246913	OK	 
REQUEST	5		Get Specific game w/ extracted game id	1584653246915	1584653246920	OK	 
USER	VideoGames DB	5	END	1584653246894	1584653246922
USER	VideoGames DB	6	START	1584653248894	1584653248894
REQUEST	6		Get Specific Video Game	1584653248895	1584653248903	OK	 
REQUEST	6		Get All Video Games	1584653248905	1584653248913	OK	 
REQUEST	6		Get Specific game w/ extracted game id	1584653248916	1584653248926	OK	 
USER	VideoGames DB	6	END	1584653248894	1584653248928
USER	VideoGames DB	7	START	1584653250894	1584653250894
REQUEST	7		Get Specific Video Game	1584653250895	1584653250902	OK	 
REQUEST	7		Get All Video Games	1584653250904	1584653250910	OK	 
REQUEST	7		Get Specific game w/ extracted game id	1584653250911	1584653250919	OK	 
USER	VideoGames DB	7	END	1584653250894	1584653250921
USER	VideoGames DB	8	START	1584653252891	1584653252891
REQUEST	8		Get Specific Video Game	1584653252892	1584653252899	OK	 
REQUEST	8		Get All Video Games	1584653252901	1584653252907	OK	 
REQUEST	8		Get Specific game w/ extracted game id	1584653252909	1584653252914	OK	 
USER	VideoGames DB	8	END	1584653252891	1584653252915
USER	VideoGames DB	9	START	1584653254892	1584653254892
REQUEST	9		Get Specific Video Game	1584653254894	1584653254900	OK	 
REQUEST	9		Get All Video Games	1584653254901	1584653254906	OK	 
REQUEST	9		Get Specific game w/ extracted game id	1584653254907	1584653254911	OK	 
USER	VideoGames DB	9	END	1584653254892	1584653254912
USER	VideoGames DB	10	START	1584653256893	1584653256893
REQUEST	10		Get Specific Video Game	1584653256895	1584653256900	OK	 
REQUEST	10		Get All Video Games	1584653256901	1584653256905	OK	 
REQUEST	10		Get Specific game w/ extracted game id	1584653256907	1584653256912	OK	 
USER	VideoGames DB	10	END	1584653256893	1584653256914
