RUN	TestJenkins.CheckResponseDuplicate	checkresponseduplicate	1584653324709	hjk	3.3.1
USER	VideoGames DB	1	START	1584653329091	1584653329091
REQUEST	1		Get Specific Video Game	1584653329121	1584653330370	OK	 
REQUEST	1		Get All Video Games	1584653330442	1584653330450	OK	 
REQUEST	1		Get Specific game w/ extracted game id	1584653330474	1584653330479	OK	 
USER	VideoGames DB	1	END	1584653329091	1584653330488
USER	VideoGames DB	2	START	1584653331090	1584653331090
REQUEST	2		Get Specific Video Game	1584653331091	1584653331100	OK	 
REQUEST	2		Get All Video Games	1584653331101	1584653331108	OK	 
REQUEST	2		Get Specific game w/ extracted game id	1584653331110	1584653331117	OK	 
USER	VideoGames DB	2	END	1584653331090	1584653331118
USER	VideoGames DB	3	START	1584653333090	1584653333090
REQUEST	3		Get Specific Video Game	1584653333091	1584653333099	OK	 
REQUEST	3		Get All Video Games	1584653333101	1584653333105	OK	 
REQUEST	3		Get Specific game w/ extracted game id	1584653333107	1584653333112	OK	 
USER	VideoGames DB	3	END	1584653333090	1584653333113
USER	VideoGames DB	4	START	1584653335088	1584653335088
REQUEST	4		Get Specific Video Game	1584653335089	1584653335099	OK	 
REQUEST	4		Get All Video Games	1584653335100	1584653335104	OK	 
REQUEST	4		Get Specific game w/ extracted game id	1584653335106	1584653335110	OK	 
USER	VideoGames DB	4	END	1584653335088	1584653335111
USER	VideoGames DB	5	START	1584653337089	1584653337089
REQUEST	5		Get Specific Video Game	1584653337090	1584653337098	OK	 
REQUEST	5		Get All Video Games	1584653337099	1584653337103	OK	 
REQUEST	5		Get Specific game w/ extracted game id	1584653337105	1584653337110	OK	 
USER	VideoGames DB	5	END	1584653337089	1584653337111
USER	VideoGames DB	6	START	1584653339090	1584653339090
REQUEST	6		Get Specific Video Game	1584653339091	1584653339099	OK	 
REQUEST	6		Get All Video Games	1584653339100	1584653339106	OK	 
REQUEST	6		Get Specific game w/ extracted game id	1584653339107	1584653339111	OK	 
USER	VideoGames DB	6	END	1584653339090	1584653339112
USER	VideoGames DB	7	START	1584653341091	1584653341091
REQUEST	7		Get Specific Video Game	1584653341092	1584653341099	OK	 
REQUEST	7		Get All Video Games	1584653341100	1584653341104	OK	 
REQUEST	7		Get Specific game w/ extracted game id	1584653341106	1584653341109	OK	 
USER	VideoGames DB	7	END	1584653341091	1584653341110
USER	VideoGames DB	8	START	1584653343090	1584653343090
REQUEST	8		Get Specific Video Game	1584653343091	1584653343097	OK	 
REQUEST	8		Get All Video Games	1584653343098	1584653343102	OK	 
REQUEST	8		Get Specific game w/ extracted game id	1584653343103	1584653343107	OK	 
USER	VideoGames DB	8	END	1584653343090	1584653343108
USER	VideoGames DB	9	START	1584653345089	1584653345089
REQUEST	9		Get Specific Video Game	1584653345090	1584653345096	OK	 
REQUEST	9		Get All Video Games	1584653345097	1584653345101	OK	 
REQUEST	9		Get Specific game w/ extracted game id	1584653345102	1584653345106	OK	 
USER	VideoGames DB	9	END	1584653345089	1584653345107
USER	VideoGames DB	10	START	1584653347089	1584653347089
REQUEST	10		Get Specific Video Game	1584653347090	1584653347100	OK	 
REQUEST	10		Get All Video Games	1584653347101	1584653347105	OK	 
REQUEST	10		Get Specific game w/ extracted game id	1584653347106	1584653347110	OK	 
USER	VideoGames DB	10	END	1584653347089	1584653347111
