RUN	Simulations.codeReuseWithObjects	codereusewithobjects	1584043168646	 	3.3.1
USER	Get all video Games	2	START	1584043171085	1584043171085
USER	Get all video Games	1	START	1584043171084	1584043171084
USER	Get all video Games	3	START	1584043171093	1584043171093
USER	Get all video Games	4	START	1584043173107	1584043173107
REQUEST	3		Get All Video Games	1584043171129	1584043174330	OK	 
REQUEST	2		Get All Video Games	1584043171129	1584043174330	OK	 
REQUEST	4		Get All Video Games	1584043173108	1584043174330	OK	 
REQUEST	1		Get All Video Games	1584043171129	1584043174330	OK	 
REQUEST	1		Get Specific Game	1584043176359	1584043176375	OK	 
REQUEST	2		Get Specific Game	1584043176359	1584043176375	OK	 
REQUEST	3		Get Specific Game	1584043176359	1584043176375	OK	 
REQUEST	4		Get Specific Game	1584043176359	1584043176375	OK	 
REQUEST	4		Get All Video Games	1584043177370	1584043177377	OK	 
REQUEST	2		Get All Video Games	1584043177370	1584043177380	OK	 
REQUEST	1		Get All Video Games	1584043177370	1584043177381	OK	 
REQUEST	3		Get All Video Games	1584043177370	1584043177381	OK	 
USER	Get all video Games	2	END	1584043171085	1584043177388
USER	Get all video Games	1	END	1584043171084	1584043177388
USER	Get all video Games	3	END	1584043171093	1584043177388
USER	Get all video Games	4	END	1584043173107	1584043177388
