RUN	Simulations.codeReuseWithObjects	codereusewithobjects	1584043270664	long test	3.3.1
USER	Get all video Games	1	START	1584043273086	1584043273086
USER	Get all video Games	2	START	1584043273600	1584043273600
USER	Get all video Games	3	START	1584043274098	1584043274098
USER	Get all video Games	4	START	1584043274600	1584043274600
USER	Get all video Games	5	START	1584043275098	1584043275098
USER	Get all video Games	6	START	1584043275589	1584043275589
USER	Get all video Games	7	START	1584043276089	1584043276089
REQUEST	6		Get All Video Games	1584043275590	1584043276260	OK	 
REQUEST	1		Get All Video Games	1584043273118	1584043276254	OK	 
REQUEST	4		Get All Video Games	1584043274601	1584043276259	OK	 
REQUEST	5		Get All Video Games	1584043275099	1584043276254	OK	 
REQUEST	3		Get All Video Games	1584043274099	1584043276266	OK	 
REQUEST	7		Get All Video Games	1584043276090	1584043276266	OK	 
REQUEST	2		Get All Video Games	1584043273601	1584043276253	OK	 
USER	Get all video Games	8	START	1584043276590	1584043276590
REQUEST	8		Get All Video Games	1584043276591	1584043276597	OK	 
USER	Get all video Games	9	START	1584043277090	1584043277090
REQUEST	9		Get All Video Games	1584043277091	1584043277097	OK	 
USER	Get all video Games	10	START	1584043277591	1584043277591
REQUEST	10		Get All Video Games	1584043277592	1584043277598	OK	 
REQUEST	1		Get Specific Game	1584043278280	1584043278287	OK	 
REQUEST	2		Get Specific Game	1584043278280	1584043278286	OK	 
REQUEST	5		Get Specific Game	1584043278280	1584043278287	OK	 
REQUEST	4		Get Specific Game	1584043278291	1584043278298	OK	 
REQUEST	6		Get Specific Game	1584043278290	1584043278299	OK	 
REQUEST	3		Get Specific Game	1584043278290	1584043278300	OK	 
REQUEST	7		Get Specific Game	1584043278290	1584043278301	OK	 
REQUEST	8		Get Specific Game	1584043278610	1584043278615	OK	 
REQUEST	9		Get Specific Game	1584043279109	1584043279114	OK	 
REQUEST	2		Get All Video Games	1584043279280	1584043279287	OK	 
REQUEST	1		Get All Video Games	1584043279280	1584043279289	OK	 
REQUEST	5		Get All Video Games	1584043279280	1584043279293	OK	 
USER	Get all video Games	5	END	1584043275098	1584043279297
USER	Get all video Games	2	END	1584043273600	1584043279297
USER	Get all video Games	1	END	1584043273086	1584043279299
REQUEST	4		Get All Video Games	1584043279290	1584043279300	OK	 
USER	Get all video Games	4	END	1584043274600	1584043279302
REQUEST	6		Get All Video Games	1584043279290	1584043279304	OK	 
USER	Get all video Games	6	END	1584043275589	1584043279305
REQUEST	3		Get All Video Games	1584043279301	1584043279309	OK	 
REQUEST	7		Get All Video Games	1584043279301	1584043279309	OK	 
USER	Get all video Games	3	END	1584043274098	1584043279310
USER	Get all video Games	7	END	1584043276089	1584043279310
REQUEST	10		Get Specific Game	1584043279619	1584043279624	OK	 
REQUEST	8		Get All Video Games	1584043279619	1584043279624	OK	 
USER	Get all video Games	8	END	1584043276590	1584043279626
REQUEST	9		Get All Video Games	1584043280120	1584043280125	OK	 
USER	Get all video Games	9	END	1584043277090	1584043280125
REQUEST	10		Get All Video Games	1584043280618	1584043280622	OK	 
USER	Get all video Games	10	END	1584043277591	1584043280623
